OnsetDate,CaseCount,Precipitation,Tave,Tmax,Tmin
2006/1/1,0,0,19.5,24.2,16.7
2006/1/2,0,0,18.5,24.4,13.7
2006/1/3,0,0,18.7,22,16.3
2006/1/4,0,0,19.9,22.8,17.6
2006/1/5,0,1.7,13.4,20.8,10.7
2006/1/6,0,0,8.4,10.7,7.1
2006/1/7,0,0,8.2,13.4,5
2006/1/8,0,0,8.7,10.2,7.7
2006/1/9,0,0,11.1,16.4,7.3
2006/1/10,0,0,13.7,17.1,11.6
2006/1/11,0,0,15.5,22.4,9.3
2006/1/12,0,0,19.3,25,15.7
2006/1/13,0,0,20.1,27,15.7
2006/1/14,0,0,20.2,24.7,17.3
2006/1/15,0,0,18.6,25.5,14.4
2006/1/16,0,0,19.4,25.7,15.8
2006/1/17,0,0,20.9,24.7,17.7
2006/1/18,0,0,22.1,25.5,19.9
2006/1/19,0,0,22.2,23.9,21.1
2006/1/20,0,1.9,12.4,22.5,10
2006/1/21,0,4.3,9.7,11.9,8.3
2006/1/22,0,0,9.9,10.8,9.2
2006/1/23,0,0,10.9,15.2,8.5
2006/1/24,0,0,11.8,16.6,8.8
2006/1/25,0,0,13.9,20.1,10.4
2006/1/26,0,0,13.3,18.8,9.5
2006/1/27,0,0,14.6,20.1,9
2006/1/28,0,1.6,14.9,17.3,12.4
2006/1/29,0,0,18.1,24.2,14.7
2006/1/30,0,0,19.6,26.9,15.3
2006/1/31,0,0,22,28.4,17.7
2006/2/1,0,0,21.1,26,17.2
2006/2/2,0,0,20.2,24.6,16.3
2006/2/3,0,0,19.5,27.1,15.6
2006/2/4,0,0,15.5,18.9,13.5
2006/2/5,0,0,16.8,20.2,13.8
2006/2/6,0,0,18.9,25.6,14.2
2006/2/7,0,0,19.3,25.7,15.5
2006/2/8,0,0,19.7,24.9,15.1
2006/2/9,0,0,17.2,21.8,15.7
2006/2/10,0,0,15.7,21.4,12.1
2006/2/11,0,0,18.5,25.3,12.8
2006/2/12,0,0,20,25.1,16
2006/2/13,0,0,18.2,20.7,16.3
2006/2/14,0,0,20.4,24.5,16.9
2006/2/15,0,0,22.4,27.7,19.8
2006/2/16,0,0,19.7,24.3,16.5
2006/2/17,0,0,14.5,16.8,13.1
2006/2/18,0,33.1,9.4,13.3,8.8
2006/2/19,0,9.5,10.8,14.2,8.7
2006/2/20,0,0.1,13.4,16.5,11.1
2006/2/21,0,0,18.5,26.7,14.6
2006/2/22,0,0,21,27.8,18.5
2006/2/23,0,0,16.6,19.1,14.8
2006/2/24,0,0,17,20.7,14.5
2006/2/25,0,1.2,16.5,19,14.2
2006/2/26,0,0.7,18.3,24.6,13.8
2006/2/27,0,29.8,15.5,21,14.8
2006/2/28,0,24.9,10.9,14.9,7.5
2006/3/1,0,0.8,8.8,12.9,6.5
2006/3/2,0,0,11.4,17.7,8.2
2006/3/3,0,0,13.3,23,6.4
2006/3/4,0,0,14,16.7,10.3
2006/3/5,0,1.1,15.9,17.5,14.5
2006/3/6,0,9.3,18.4,24.2,15.9
2006/3/7,0,0,20.7,24.1,17.7
2006/3/8,0,0,21.6,25.7,19.5
2006/3/9,0,0,22.4,28.2,18.9
2006/3/10,0,0,22.2,28.1,17.7
2006/3/11,0,0,22.1,25.2,19.7
2006/3/12,0,1.8,19.3,25.2,15.3
2006/3/13,0,4.6,9.1,15.3,6.7
2006/3/14,0,0.1,9.6,12.6,6.7
2006/3/15,0,0,13.4,15.6,11.4
2006/3/16,0,0,16.8,21.4,13.9
2006/3/17,0,0,21.2,25.7,17.7
2006/3/18,0,0,24,28.9,20.9
2006/3/19,0,0,22,24.7,19.9
2006/3/20,0,3,18.2,21.8,17.6
2006/3/21,0,0,19.8,22.4,18
2006/3/22,0,9,21.9,23.4,21.1
2006/3/23,0,26.5,19.6,22.6,17.6
2006/3/24,0,7.7,16.5,17.7,15.6
2006/3/25,0,6.7,16.8,19,15.5
2006/3/26,0,18.8,17.1,18.8,16.5
2006/3/27,0,4.3,16.6,17.5,16.1
2006/3/28,0,0,19,27.2,14
2006/3/29,0,0,20.5,27,14.8
2006/3/30,0,0,22,26.2,19.1
2006/3/31,0,2.9,22,24,20
2006/4/1,0,0,23.9,28,21.2
2006/4/2,0,0,24,27.1,22.3
2006/4/3,0,0,25.1,29.5,22.5
2006/4/4,0,0,25.8,30.1,23.3
2006/4/5,0,0,26.3,31,23.4
2006/4/6,0,5.8,24.4,27.8,22.5
2006/4/7,0,5.6,20.2,22.8,18.5
2006/4/8,0,0,21.6,24.7,19
2006/4/9,0,1.1,23.7,26,21.2
2006/4/10,0,0,27.6,33,23.5
2006/4/11,0,0,27.6,31.8,24.7
2006/4/12,0,0,28.3,31,26.6
2006/4/13,0,14.5,17.5,28.2,15.9
2006/4/14,0,0.1,13.8,15.9,12.9
2006/4/15,0,0.1,13.4,15,12
2006/4/16,0,0,17.6,24.1,11.2
2006/4/17,0,0,20.7,26.8,14.3
2006/4/18,0,0,23.4,28.2,19.6
2006/4/19,0,0,25.1,29.9,21.7
2006/4/20,0,0,26,31.9,21.1
2006/4/21,0,0,25,30.2,22.6
2006/4/22,0,0,26.4,30.4,23.6
2006/4/23,0,11,26.5,31.2,24.4
2006/4/24,0,1,27,31.9,24.3
2006/4/25,0,1,25.6,27.9,24.2
2006/4/26,0,62.6,26.4,31.9,23.5
2006/4/27,0,0.6,25.7,29.5,23.3
2006/4/28,0,67.2,23,26.8,20.5
2006/4/29,0,0,22.6,26.6,20.1
2006/4/30,0,0,25.5,30.3,20.9
2006/5/1,0,0,27.9,32.5,24.6
2006/5/2,0,12.1,24.9,31.1,23.9
2006/5/3,0,34.9,21.9,24.1,20.6
2006/5/4,0,0.1,24.5,28.1,20.2
2006/5/5,0,66.1,26,28.8,24.1
2006/5/6,0,0,27.6,32.6,25.2
2006/5/7,0,35.3,27.3,33.6,23
